,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
10/ii,6.64,4.69,7.42,2.73,5.47,0.78,1.56,0.78,0.00,1.17,2.34,0.39,1.56,2.73,4.30,1.56,0.00,1.95,1.56,0.39,1.95,0.78,1.17,1.56,1.17,1.56,0.00,0.00,0.00,0.00,1.95,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,1.95,1.56,5.47,0.00,0.39,0.78,1.56,0.00,0.39,0.78,0.00,0.00,1.95,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,1.17,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.39,0.00,0.00,2.34,0.78,1.17,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.00,0.78,0.00,0.78,0.00,0.00,0.00,0.78,0.00,0.00,0.00,1.56,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.39,0.00,0.39,0.00,0.00,0.00,1.17,0.78,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00
9/i,2.37,5.92,2.96,6.51,2.96,3.55,2.96,10.65,1.18,1.18,2.37,0.59,1.18,2.37,0.00,0.00,0.00,0.59,5.33,1.78,0.00,0.00,1.18,0.59,1.18,3.55,2.96,0.00,0.00,0.59,0.59,0.59,0.59,1.18,0.59,0.00,0.59,1.18,0.59,1.18,0.00,0.00,0.59,1.18,0.00,0.00,1.18,1.18,0.00,0.59,0.00,0.00,0.00,0.00,1.78,0.00,0.00,3.55,3.55,1.18,0.00,0.59,0.59,0.00,0.00,0.59,0.00,0.59,1.78,0.00,0.00,0.59,0.00,0.00,0.59,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/iv,5.26,5.26,5.26,5.26,10.53,0.00,0.00,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,10.53,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/iii,3.13,0.00,28.13,6.25,6.25,0.00,3.13,6.25,3.13,3.13,0.00,0.00,0.00,3.13,0.00,3.13,0.00,0.00,0.00,0.00,0.00,12.50,6.25,6.25,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/ii,1.23,7.41,5.68,3.95,3.21,0.25,0.49,3.46,1.98,1.48,3.21,1.23,0.25,0.74,0.74,0.99,0.25,3.21,0.00,0.74,1.48,0.25,0.49,0.74,3.95,1.48,0.99,0.00,1.48,1.48,4.20,0.49,0.00,0.74,0.00,2.72,5.93,0.00,2.47,0.00,0.00,0.74,1.48,0.00,1.98,0.49,0.00,0.00,0.00,0.49,0.00,0.00,2.22,0.00,0.25,2.22,1.48,0.00,0.25,0.00,0.49,0.74,0.25,0.00,0.25,1.23,0.00,0.00,0.25,0.00,0.25,0.00,3.46,0.25,1.48,0.00,0.00,0.99,0.00,0.49,0.25,0.49,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.25,0.00,0.00,0.00,0.49,0.49,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.49,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/v,15.57,7.12,4.49,6.07,3.96,0.00,3.96,1.32,2.37,0.53,1.32,0.53,2.64,0.79,5.01,5.54,1.85,0.53,1.06,0.26,0.79,1.32,0.79,0.00,1.06,0.53,2.37,0.79,0.53,1.32,5.54,0.53,0.00,0.53,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.26,0.26,1.58,0.00,0.00,0.00,1.06,1.06,0.00,0.53,1.32,0.00,1.06,1.06,0.00,0.26,0.26,0.00,0.00,0.00,0.00,1.06,0.53,0.00,0.00,0.26,0.00,0.00,0.53,1.32,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.53,0.26,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13/ii,5.72,3.59,3.86,1.46,2.13,0.27,0.66,1.60,0.27,0.66,0.53,0.13,3.72,1.33,0.80,2.26,0.40,1.06,0.27,0.93,0.40,1.06,0.80,0.66,0.00,0.27,0.27,0.00,0.66,0.66,1.73,0.66,0.00,0.00,0.13,0.00,0.27,0.13,0.27,0.00,0.00,0.53,0.80,0.80,1.73,1.73,1.06,0.40,0.40,0.80,0.13,0.27,0.40,0.13,0.80,0.40,0.27,0.13,0.00,0.00,0.53,0.40,0.27,0.13,1.20,0.00,0.00,0.40,0.00,1.20,0.27,0.13,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.53,1.73,0.13,0.13,1.86,0.80,0.53,0.66,0.40,0.27,0.00,0.80,0.00,0.93,0.53,0.00,0.00,0.13,0.00,0.00,0.53,0.13,0.27,0.00,0.00,1.06,0.00,0.27,0.53,0.00,0.13,0.00,0.27,0.00,0.00,0.00,0.40,0.13,0.00,0.00,0.00,0.00,0.27,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.40,1.33,0.27,0.00,0.13,0.00,0.80,0.66,0.00,0.53,0.00,0.13,0.66,0.66,1.33,0.27,0.27,0.40,0.13,0.40,0.00,0.00,0.00,0.00,0.27,0.27,0.13,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,1.33,1.60,0.00,0.53,1.46,0.13,0.00,0.13,0.53,0.00,0.00,0.53,0.66,0.80,0.00,0.66,0.00,0.00,0.00,0.40,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,0.40,1.86,0.13,0.53,0.00,1.86,0.00,0.53,0.27,0.27,0.00,2.26,0.00,0.53,0.27,0.13,0.00,1.06,0.00
11/i,3.23,9.68,16.13,16.13,9.68,0.00,0.00,3.23,0.00,3.23,0.00,0.00,0.00,0.00,12.90,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00,6.45,6.45,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/ii,1.78,5.33,1.78,9.78,2.67,1.33,2.67,3.11,0.44,0.00,1.78,0.00,1.78,1.33,2.67,2.67,0.00,0.00,4.89,0.00,0.00,1.78,1.33,0.00,0.44,2.22,1.78,1.78,0.00,0.89,0.44,2.22,0.89,0.00,0.00,0.00,0.89,0.00,0.00,0.44,0.00,0.44,2.22,1.78,0.00,0.89,2.22,0.00,0.44,4.44,0.00,0.00,0.44,2.67,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,3.56,0.44,0.44,0.00,0.00,0.00,0.44,0.00,0.89,0.00,0.44,0.89,0.00,0.00,0.00,0.00,0.00,1.78,0.00,0.00,0.89,0.00,0.00,0.89,0.00,0.00,0.44,2.22,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.89,0.00,0.44,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.44,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/iii,20.00,0.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/i,1.29,5.18,4.62,2.22,2.40,2.03,3.33,4.99,1.48,1.29,3.88,0.92,0.74,0.92,0.92,1.29,0.00,1.11,0.74,1.11,1.66,1.85,1.11,0.18,1.29,0.00,1.85,0.18,0.00,1.11,0.37,1.85,1.48,1.29,2.03,0.18,1.48,0.37,0.37,0.74,0.00,0.74,1.11,0.00,0.92,0.37,0.74,0.37,0.18,1.29,0.37,0.18,0.00,1.11,0.74,0.92,0.00,0.00,0.37,0.92,0.37,0.18,0.00,0.18,0.00,0.74,1.66,0.00,0.18,0.18,0.18,0.18,0.18,0.00,0.92,1.29,0.00,0.18,0.18,0.00,0.00,0.55,0.00,0.74,0.55,0.18,2.03,0.92,0.00,0.00,0.18,0.37,0.37,0.00,1.85,0.00,0.00,0.18,0.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.18,0.18,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.37,0.18,0.00,0.55,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.74,0.00,0.00,0.00,0.55,1.48,0.92,0.00,0.37,0.55,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.00,1.29,0.37,0.00,0.00,0.37,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/iii,1.80,2.46,2.51,3.03,2.04,1.09,1.04,1.75,0.47,0.80,2.32,0.19,1.14,1.09,0.90,1.75,0.28,1.47,0.85,0.57,0.95,0.57,0.24,1.28,0.95,0.62,0.71,0.43,0.24,0.47,0.66,1.14,0.28,0.85,0.28,0.24,0.43,0.14,0.57,0.14,0.09,0.52,0.90,1.42,0.66,1.37,0.33,0.43,0.62,0.52,0.19,0.24,0.28,0.62,0.24,0.66,0.05,0.09,0.33,0.19,0.28,0.24,0.14,0.24,0.62,1.09,0.09,0.57,0.47,0.38,0.33,0.90,0.71,0.14,0.52,0.05,0.09,0.14,0.05,0.66,1.18,0.19,0.14,0.38,0.62,0.14,1.04,0.24,0.19,0.05,0.33,0.14,0.19,0.14,0.19,0.24,0.05,0.24,0.14,0.43,0.90,0.00,0.00,0.33,0.57,0.28,0.24,0.24,0.43,0.71,0.19,0.19,0.47,0.00,0.05,0.28,0.00,0.05,0.43,0.52,0.57,0.24,0.38,0.09,0.00,0.05,0.38,0.09,0.00,0.43,0.71,0.43,1.14,0.14,0.24,0.19,0.05,1.75,0.05,0.66,0.05,0.09,0.57,0.19,0.09,0.43,0.09,0.52,0.57,0.62,0.00,0.09,0.28,0.00,0.24,0.28,0.14,0.05,0.19,1.04,0.47,0.00,0.00,0.00,0.24,0.38,0.00,0.71,1.28,0.14,0.43,0.33,0.33,0.24,0.66,0.24,0.00,0.24,0.33,0.57,0.33,0.00,0.05,0.00,0.00,0.43,0.24,0.00,0.62,0.99,0.00,0.00,0.76,0.19,0.00,0.38,0.85,0.85,0.95,0.09,1.23,0.14,0.47,0.14,0.00,0.00,0.57,0.00,1.42,0.28,0.09,0.28,0.00,0.14,0.47,0.00
